sense_id;sequence
3562; 1K    o   1P    o   2K    o   2C    -   3C  
3556; 1K    o   1P    o   2K    o   2C    -   3P  
3560; 1K    o   1P    o   2K    o   2C    -   3SA 
3167; 1K    o   1P    o   2K    o   4T  
3320; 1K    o   1P    o   2C    o   2SA   -   3T  
3303; 1K    o   1P    o   2C    o   2SA   -   3K  
3028; 1K    o   1P    o   2C    o   3T  
3404; 1K    o   1P    o   2C    o   3T    -   3K  
3502; 1K    o   1P    o   2C    o   3T    -   3K  
3440; 1K    o   1P    o   2C    o   3T    -   3C  
3378; 1K    o   1P    o   2C    o   3T    -   3P  
3361; 1K    o   1P    o   2C    o   3T    -   4P  
2983; 1K    o   1P    o   2C    o   3K  
2998; 1K    o   1P    o   2C    o   4K  
3132; 1K    o   1P    o   2m    o   3SA 
2922; 1K    o   1SA   -   2T    -    -  
2924; 1K    o   1SA   -   2T    -   2K  
2930; 1K    o   1SA   -   2T    o   2C  
2931; 1K    o   1SA   -   2T    o   2P  
2173; 1K    o   1SA   -   3T  
3040; 1K    o   1SA   -   3T    -   3K  
3063; 1K    o   1SA   -   3T    -   3SA 
3053; 1K    o   1SA   -   3T    -   4T  
3049; 1K    o   1SA   -   3T    -   4K  
2315; 1K    o   1SA  2T   2C  
2316; 1K    o   1SA  2T   2P  
2317; 1K    o   1SA  2C   2P  
2343; 1K    o   1SA  2M   3K  
2985; 1K    o   1SA   o   2M    o   3K  
3014; 1K    o   1SA   o   2M    o   3SA 
2992; 1K    o   1SA   o   2M    o   3M  
3000; 1K    o   1SA   o   2M    o   4K  
2748; 1K    o   1M    -   2SA   -   3T  
2172; 1K    o   1M    -   3T  
3039; 1K    o   1M    -   3T    -   3K  
3062; 1K    o   1M    -   3T    -   3SA 
3070; 1K    o   1M    -   3T    -   3M  
3477; 1K    o   1M    -   3T    -   3E    -   3SA 
3052; 1K    o   1M    -   3T    -   4T  
3048; 1K    o   1M    -   3T    -   4K  
2304; 1K    o   1M   2E   3T  
2736; 1K    o   1M    o   1SA   -   3F  
2903; 1K    o   1M    o   2T    -   2K  
2905; 1K    o   1M    o   2T    -   2M  
2907; 1K    o   1M    o   2T    -   3T  
2913; 1K    o   1M    o   2T    -   3K  
2911; 1K    o   1M    o   2T    -   3M  
2901; 1K    o   1M    o   2T    o    -  
2347; 1K    o   2T   2M   3K  
3128; 1K    o   2T    o   2K    o   2SA 
3156; 1K    o   2T    o   2K    o   2M  
3142; 1K    o   2T    o   2K    o   3T  
3122; 1K    o   2T    o   2K    o   3K  
3162; 1K    o   2T    o   2K    o   3C  
3163; 1K    o   2T    o   2K    o   3P  
3136; 1K    o   2T    o   2K    o   3SA 
3113; 1K    o   2T    o   2K    o   4K  
3029; 1K    o   2T    o   2C    o   2P  
3405; 1K    o   2T    o   2C    o   2P    -   3K  
3503; 1K    o   2T    o   2C    o   2P    -   3K  
3441; 1K    o   2T    o   2C    o   2P    -   3C  
3470; 1K    o   2T    o   2C    o   2P    -   3SA 
3304; 1K    o   2T    o   2C    o   2SA   -   3K  
3321; 1K    o   2T    o   2C    o   2SA   -   3P  
3305; 1K    o   2T    o   2P    o   2SA   -   3K  
3322; 1K    o   2T    o   2P    o   2SA   -   3C  
3030; 1K    o   2T    o   2P    o   3C  
3442; 1K    o   2T    o   2P    o   3C    -   3P  
3471; 1K    o   2T    o   2P    o   3C    -   3SA 
3406; 1K    o   2T    o   2P    o   3C    -   4K  
3504; 1K    o   2T    o   2P    o   3C    -   4K  
3035; 1K    o   2T    o   2M    o   2SA 
3315; 1K    o   2T    o   2M    o   2SA   -   3SA 
3309; 1K    o   2T    o   2M    o   2SA   -   3M  
3020; 1K    o   2T    o   2M    o   3T  
2987; 1K    o   2T    o   2M    o   3K  
3016; 1K    o   2T    o   2M    o   3SA 
2994; 1K    o   2T    o   2M    o   3M  
3002; 1K    o   2T    o   2M    o   4K  
3009; 1K    o   2T    o   2M    o   4M  
3194; 1K    o   2T    o   3K    o   3C  
3195; 1K    o   2T    o   3K    o   3P  
3183; 1K    o   2T    o   3K    o   3SA 
3188; 1K    o   2T    o   3K    o   4T  
3179; 1K    o   2T    o   3K    o   4K  
2029; 1K    o   2K    o   3T  
 207; 1C    -   1P  
2123; 1C    -   1P    -   1SA 
2733; 1C    -   1P    -   1SA   -   3C  
2737; 1C    -   1P    -   1SA   -   3F  
2734; 1C    -   1P    -   1SA   -   4C  
2200; 1C    -   1P    -   2C  
3119; 1C    -   1P    -   2C    -   3C  
3114; 1C    -   1P    -   2C    -   4C  
2126; 1C    -   1P    -   2SA 
2165; 1C    -   1P    -   2m  
2209; 1C    -   1P    -   3C  
3212; 1C    -   1P    -   3C    -   4T  
3214; 1C    -   1P    -   3C    -   4K  
3199; 1C    -   1P    -   3C    -   4C  
2296; 1C    -   1P   2T   2K  
2075; 1C    -   1P   2T   3K  
2076; 1C    -   1P   2K   4T  
1054; 1C    -   1P   2C  
1072; 1C    -   1P   2SA 
2328; 1C    -   1P   2m   2C  
2341; 1C    -   1P   2m   3C  
2920; 1C    -   1P    o   2T    o   2K  
3393; 1C    -   1P    o   2T    o   2K    -   2C  
3491; 1C    -   1P    o   2T    o   2K    -   2C  
3373; 1C    -   1P    o   2T    o   2K    -   2P  
3429; 1C    -   1P    o   2T    o   2K    -   3T  
3356; 1C    -   1P    o   2T    o   2K    -   3P  
2921; 1C    -   1P    o   2K    o   3T  
3430; 1C    -   1P    o   2K    o   3T    -   3K  
3394; 1C    -   1P    o   2K    o   3T    -   3C  
3492; 1C    -   1P    o   2K    o   3T    -   3C  
3374; 1C    -   1P    o   2K    o   3T    -   3P  
3357; 1C    -   1P    o   2K    o   3T    -   4P  
2902; 1C    -   1P    o   2m    o    -  
2904; 1C    -   1P    o   2m    o   2C  
2906; 1C    -   1P    o   2m    o   2P  
2910; 1C    -   1P    o   2m    o   2SA 
2915; 1C    -   1P    o   2m    o   3C  
2912; 1C    -   1P    o   2m    o   3P  
2917; 1C    -   1P    o   2m    o   3SA 
2908; 1C    -   1P    o   2m    o   3m  
2914; 1C    -   1P    o   2m    o   4C  
2191; 1C    -   1SA   -   2P  
2166; 1C    -   1SA   -   2m  
1081; 1C    -   1SA  2C  
2425; 1C    -   1SA  2P    X  
2943; 1C    -   2T    -   2K    o   2P  
3431; 1C    -   2T    -   2K    o   2P    -   3K  
3395; 1C    -   2T    -   2K    o   2P    -   3C  
3493; 1C    -   2T    -   2K    o   2P    -   3C  
2945; 1C    -   2T    -   2K    o   3P  
3433; 1C    -   2T    -   2K    o   3P    -   4K  
3397; 1C    -   2T    -   2K    o   3P    -   4C  
3495; 1C    -   2T    -   2K    o   3P    -   4C  
3215; 1C    -   2T    -   3C    -   4K  
1056; 1C    -   2T   2C  
1074; 1C    -   2T   2SA 
2193; 1C    -   2K    -   3T  
3213; 1C    -   2K    -   3C    -   4T  
1057; 1C    -   2K   2C  
1075; 1C    -   2K   2SA 
2008; 1C    -   2C   2P    X  
1089; 1C    -   2C   3C  
1091; 1C    -   2C   4T  
2704; 1C    -   2SA   -   3T    -   3P  
3259; 1C    -   2SA   -   3m    -   3SA 
3258; 1C    -   2SA   -   3m    -   3E  
2192; 1C    -   2m    -   2P  
2758; 1C    -   2m    -   2SA   -   3C  
3211; 1C    -   2m    -   3C    -   3P  
 212; 1C    -   3P  
1044; 1C    -    o   2P  
 272; 1C    X   1P  
 269; 1C    X   3P  
 323; 1C   1P    X  
2353; 1C   1P    X   2T   2K  
2384; 1C   1P    X   2P   3C  
2373; 1C   1P    X   2m   2C  
2385; 1C   1P    X   2m   3C  
 322; 1C   1P   1SA 
2244; 1C   1P   1SA   -   2T  
2245; 1C   1P   1SA   -   2K  
2268; 1C   1P   1SA   -   2C  
2236; 1C   1P   1SA   -   2SA 
2278; 1C   1P   1SA   -   3C  
2262; 1C   1P   2T    -   2K  
2259; 1C   1P   2K    -   3T  
 311; 1C   1P   2C  
2010; 1C   1P   2C   2P    X  
 318; 1C   1P   2P  
 312; 1C   1P   2SA 
 319; 1C   1P   2m  
2270; 1C   1P   2m    -   2C  
2089; 1C   1P   2m    -   2P  
2285; 1C   1P   2m    -   2P  
2237; 1C   1P   2m    -   2SA 
2280; 1C   1P   2m    -   3C  
2090; 1C   1P   2m   2P   3P  
2085; 1C   1P   2m    o   3m  
 313; 1C   1P   3C  
 316; 1C   1P   3P  
 314; 1C   1P   3SA 
 320; 1C   1P   3m  
 315; 1C   1P   4C  
 317; 1C   1P   4m  
 321; 1C   1P   4m  
2367; 1C   1E    X   2E   3T  
2374; 1C   2T    X   2K   2C  
2366; 1C   2T    X   2K   2P  
2358; 1C   2T    X   2P   3K  
2359; 1C   2T    X   3T   3K  
2387; 1C   2T    X   3K   3C  
2271; 1C   2T   2K    -   2C  
2258; 1C   2T   2K    -   2P  
2286; 1C   2T   2K    -   3T  
2388; 1C   2K    X   3T   3C  
2292; 1C   2K   2P    -   3K  
1008; 1C   2C  
 413; 1C   2C   2SA 
 434; 1C   2C   3T  
 421; 1C   2C   3SA 
1004; 1C   2P  
 445; 1C   2SA   X  
 438; 1C   2SA  3K  
 408; 1C   2SA  3P  
2386; 1C   2m    X   3m   3C  
2009; 1C   2m   2C   2P    X  
2238; 1C   2m   2P    -   2SA 
 332; 1C   2E   3P  
1011; 1C   3T  
 415; 1C   3T   2SA 
 436; 1C   3T   3P  
 423; 1C   3T   3SA 
2174; 1C    o   1P    -   3T  
3080; 1C    o   1P    -   3T    -   3K  
3415; 1C    o   1P    -   3T    -   3K    -   3C  
3513; 1C    o   1P    -   3T    -   3K    -   3C  
3383; 1C    o   1P    -   3T    -   3K    -   3P  
3478; 1C    o   1P    -   3T    -   3K    -   3SA 
3451; 1C    o   1P    -   3T    -   3K    -   4T  
3366; 1C    o   1P    -   3T    -   3K    -   4P  
2175; 1C    o   1P    -   3K  
3081; 1C    o   1P    -   3K    -   4T  
3452; 1C    o   1P    -   3K    -   4T    -   4K  
3416; 1C    o   1P    -   3K    -   4T    -   4C  
3514; 1C    o   1P    -   3K    -   4T    -   4C  
3384; 1C    o   1P    -   3K    -   4T    -   4P  
3367; 1C    o   1P    -   3K    -   4T    -   5P  
3041; 1C    o   1P    -   3m    -   3C  
3071; 1C    o   1P    -   3m    -   3P  
3064; 1C    o   1P    -   3m    -   3SA 
3054; 1C    o   1P    -   3m    -   4m  
