deal_id;type;content
*       47;DEAL;T7-K875-A7-K8763, J8652-J32-J863-4, A4-Q94-K94-AQJ92, KQ93-AT6-QT52-T5
*       47;DIRS;  North      East     South      West
*       47;BIDS;  passe     passe      1SA      passe   
*       47;RULE;                        14              
*       47;BIDS;    2T      passe       2K      passe   
*       47;RULE;   272                 302              
*       47;BIDS;  passe     passe   
*       47;RULE;                    
*       48;DEAL;T875-842-KQ75-43, AQ62-Q73-AJ9-J95, KJ4-AT5-82-T8762, 93-KJ96-T643-AKQ
*       48;DIRS;  North      East     South      West
*       48;BIDS;  passe       1T      passe       1K    
*       48;RULE;              17                  17    
*       48;BIDS;  passe     passe     passe   
*       48;RULE;                              
*       49;DEAL;65-QT62-53-KQT97, Q9-AKJ873-AK86-J, T8743-54-Q7-A432, AKJ2-9-JT942-865
*       49;DIRS;  North      East     South      West
*       49;BIDS;  passe       1C      passe     passe   
*       49;RULE;              16                        
*       49;BIDS;  passe   
*       49;RULE;          
*       50;DEAL;7-9765432-T-8652, 4-AT8-J976-AKQ43, KJT98652-Q85-T9, AQ3-KQJ-AK432-J7
*       50;DIRS;  North      East     South      West
*       50;BIDS;  passe       1T        4P        1K    
*       50;RULE;              17        24        17    
*       50;BIDS;  passe     passe     passe   
*       50;RULE;                              
*       51;DEAL;8-T762-QJT8-AJ92, K75-9853-432-KQ4, Q92-Q4-AK9765-76, AJT643-AKJ-T853
*       51;DIRS;  North      East     South      West
*       51;BIDS;  passe     passe     passe       1P    
*       51;RULE;                                  16    
*       51;BIDS;  passe     passe     passe   
*       51;RULE;                              
*       52;DEAL;K75-JT75-A85-AQ9, A98-984-Q64-K742, J62-K63-J9732-T3, QT43-AQ2-KT-J865
*       52;DIRS;  North      East     South      West
*       52;BIDS;    1T      passe       1K      passe   
*       52;RULE;    17                  62              
*       52;BIDS;    1C      passe     passe     passe   
*       52;RULE;   508                                  
*       53;DEAL;865-A964-AQ6-976, AQJ2-J75-J5-A854, T94-KQT3-73-KJT3, K73-82-KT9842-Q2
*       53;DIRS;  North      East     South      West
*       53;BIDS;  passe       1T      passe     passe   
